person_id,name,severity,issue_type,message
@I323@,Anne BULLOCK,warning,implausible_age,"Person would be 461 years old if alive today (born 1565), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I324@,Eleanor BULLOCK,warning,implausible_age,"Person would be 459 years old if alive today (born 1567), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I326@,Jane GIFFARD,warning,implausible_age,"Person would be 502 years old if alive today (born 1524), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I329@,WIFE,warning,implausible_age,"Person would be 620 years old if alive today (born 1406), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I330@,John WASHINGTON,warning,implausible_age,"Person would be 596 years old if alive today (born 1430), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I331@,Richard WASHINGTON,warning,implausible_age,"Person would be 594 years old if alive today (born 1432), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I332@,John WESTFIELD,warning,implausible_age,"Person would be 608 years old if alive today (born 1418), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I333@,Mrs-John WESTFIELD,warning,implausible_age,"Person would be 623 years old if alive today (born 1403), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I335@,Joan NEVILLE,warning,implausible_age,"Person would be 583 years old if alive today (born 1443), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I336@,Humphrey GASCOIGNE,warning,implausible_age,"Person would be 579 years old if alive today (born 1447), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I337@,John GASCOIGNE,warning,implausible_age,"Person would be 577 years old if alive today (born 1449), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I338@,Margaret GASCOIGNE,warning,implausible_age,"Person would be 573 years old if alive today (born 1453), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I340@,Elizabeth GASCOIGNE,warning,implausible_age,"Person would be 553 years old if alive today (born 1473), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I344@,Ralph PERCY,warning,implausible_age,"Person would be 586 years old if alive today (born 1440), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I346@,Eleanor PERCY,warning,implausible_age,"Person would be 571 years old if alive today (born 1455), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I348@,Robert BULLOCK,warning,implausible_age,"Person would be 524 years old if alive today (born 1502), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I349@,Eleanor,warning,implausible_age,"Person would be 600 years old if alive today (born 1426), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I350@,William NORRIS,warning,implausible_age,"Person would be 598 years old if alive today (born 1428), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I352@,Alice,warning,implausible_age,"Person would be 586 years old if alive today (born 1440), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I353@,John (Henry) GIFFORD,warning,implausible_age,"Person would be 524 years old if alive today (born 1502), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I354@,Joan (Johan) BRYDGES,warning,implausible_age,"Person would be 523 years old if alive today (born 1503), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I356@,Alice GIFFARD,warning,implausible_age,"Person would be 500 years old if alive today (born 1526), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I357@,Mary GIFFARD,warning,implausible_age,"Person would be 498 years old if alive today (born 1528), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I359@,George GIFFARD,warning,implausible_age,"Person would be 494 years old if alive today (born 1532), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I362@,Margaret CLARELL,warning,implausible_age,"Person would be 591 years old if alive today (born 1435), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I363@,Robert GASCOIGNE,warning,implausible_age,"Person would be 600 years old if alive today (born 1426), which exceeds maximum plausible age of 122; inferred death date range will be added"
