address,alt_addr,used,type,class_,icon,latitude,longitude,found_country,country_code,country_name
"Of, Monston, Yorkshire, England",,1,,,,53.9825271,-1.38525,True,GB,England
Spm,,1,,,,49.9795824,6.6996207,True,DE,Deutschland
", Alnwick, Northumberland, England",,1,,,,55.4133398,-1.7072354,True,GB,England
"Battle Of, St Albans, Kent, England",,1,,,,51.3934788,0.190539,True,GB,England
", Berwick, Wiltshire, England",,1,,,,50.9853571,-2.0771314,True,GB,England
"Of, Raby, Durham, England",,1,,,,54.5910607,-1.8017245,True,GB,England
"Of, Warkworth, Yorkshire, England",,1,,,,53.9825271,-1.38525,True,GB,England
"Infant, , , England",,1,,,,51.4104104,-0.8275279,True,GB,England
"Sp Prob Infant, , , England",,1,,,,52.5310214,-1.2649062,True,GB,England
"Battle Of, Northampton, Northamptonshire, England",,1,,,,52.2343297,-0.9028043,True,GB,England
", Hedgeley Moor, Northumberland, England",,1,,,,55.4655667,-1.9070774,True,GB,England
", , Yorkshire, England",,1,,,,53.9825271,-1.38525,True,GB,England
"Vp, Orleans, , France",,1,,,,47.9278966,1.9180413,True,FR,France
"Of, Beverstone, Gloucestershire, England",,1,,,,51.6432869,-2.2005697,True,GB,England
"Of, Cubberley, Gloucestershire, England",,1,,,,51.7643786,-2.1880662,True,GB,England
"Of, Newbury, Gloucestershire, England",,1,,,,51.5040063,-2.4920541,True,GB,England
Of Tewitfield,,1,,,,,,False,,
"Of, Harewood, Yorkshire, England",,1,,,,53.9010438,-1.5111773,True,GB,England
"Of, Micklefield, Yorkshire, England",,1,,,,53.7943276,-1.3293873,True,GB,England
", Shrewsbury, Shropshire, England",,1,,,,52.707755,-2.7540658,True,GB,England
", Usk, Monmouthshire, England",,1,,,,51.4818832,-2.7686972,True,GB,England
"Of Castle Raby, Raby With Keverstone, Durham, England",,1,,,,54.5937943,-1.8190963,True,GB,England
"Chateau De Beaufort, Meuse-et-Loire, France",,1,,,,47.4230544,0.8905783,True,FR,France
(61-1425),,1,,,,36.0032435,-105.9552006,True,US,United States
", Howden, Yorkshire, England",,1,,,,53.7473189,-0.8622549,True,GB,England
", Wakefield, Yorkshire, England",,1,,,,53.6829541,-1.4967286,True,GB,England
Died Young,,1,,,,,,False,,
"Of, , Westmorland, England",,1,,,,53.6835789,-1.4968547,True,GB,England
Sp,,1,,,,44.238366,9.6912326,True,IT,Italia
", Raby, Durham, England",,1,,,,54.5910607,-1.8017245,True,GB,England
", Berkhamsted, Hertfordshire, England",,1,,,,51.7607271,-0.5652554,True,GB,England
"Of Raby With Keverstone, Staindrop, Durham, England",,1,,,,54.5800156,-1.8068071,True,GB,England
"Okeford, Fitzpaine, Dorset, England",,1,,,,50.9026432,-2.2726175,True,GB,England
Orleans,,1,,,,47.9027336,1.9086066,True,FR,France
"Wotton, Gloucestershire, England",,1,,,,51.8690821,-2.2304022,True,GB,England
"Beverstone, Gloucs., , England",,1,,,,52.5310214,-1.2649062,True,GB,England
"Of, Itchell, Southampton, England",,1,,,,50.9025349,-1.404189,True,GB,England
"Of Basing, Hampshire, England",,1,,,,51.2889702,-1.0447215,True,GB,England
"Of Hinton-St. George, Somersetshire, England",,1,,,,50.9093898,-2.8282672,True,GB,England
(88-1571/1572),,1,,,,37.5164595,126.9221918,True,KR,South Korea
"Basing, Hampshire, Eng",,1,,,,51.2712823,-1.046029,True,GB,United Kingdom
"Of, Crandal, Hampshire, England",,1,,,,51.0449814,-1.2433133,True,GB,England
"Of Herriard, Hampshire, Eng.",,1,,,,51.0449814,-1.2433133,True,GB,United Kingdom
"Of, Littlecote, Wiltshire, England",,1,,,,51.4333419,-1.5694908,True,GB,England
(40-1467),,1,,,,47.8421665,18.2481705,True,SK,Slovensko
(30-1492/1493),,1,,,,46.2960951,14.8057772,True,SI,Slovenia
Unmarried,,1,,,,-33.4596678,149.5481193,True,AU,Australia
Gray's Inn,,1,,,,51.520415,-0.1138437,True,GB,United Kingdom
Holland,,1,,,,52.2434979,5.6343227,True,NL,Netherlands
", Middlesex Co, VA",,1,,,,37.6221412,-76.5904374,True,US,United States
"Hoe, Norfolk, England",,1,,,,52.7184506,0.9472305,True,GB,England
"St. Mary, Hellesdon, Norfolk, England",,1,,,,52.6486234,1.2515655,True,GB,England
"Stonehedge, , , England",,1,,,,50.7047622,-3.5394457,True,GB,England
"Colne, Lancashire, England",,1,,,,53.8567728,-2.1691238,True,GB,England
"Of, Stonehedge, Lancaster, England",,1,,,,54.0488219,-2.8013499,True,GB,England
"Of, Windlehouse, Lancaster, England",,1,,,,54.0488219,-2.8013499,True,GB,England
"Burgh, Suffolk, England",,1,,,,52.1166641,1.2584744,True,GB,England
"Aldham, Suffolk, , England",,1,,,,52.0632432,0.9717538,True,GB,England
"Of, Aldham, Suffolk, England",,1,,,,52.0632432,0.9717538,True,GB,England
"Of, Maldon, Essex, England",,1,,,,51.7952538,0.7823023,True,GB,England
"Hoe, , , England",,1,,,,52.7184506,0.9472305,True,GB,England
"St. Michael, Plea, , England",,1,,,,52.6305193,1.2972286,True,GB,England
"Of, Barnside, Lancaster, England",,1,,,,54.0488219,-2.8013499,True,GB,England
"Workingham, Berkshire, , Eng",,1,,,,51.4534889,-1.031873,True,GB,United Kingdom
Burbage,,1,,,,52.5279306,-1.3486528,True,GB,United Kingdom
"Of, Roscombe, , England",,1,,,,54.5652818,-2.9131428,True,GB,England
"Of, Cuckfield, Sussex, England",,1,,,,51.0094539,-0.1345285,True,GB,England
"Of, Linkenholt Manor, Hants, England",,1,,,,50.9125822,-1.3975608,True,GB,England
"Barkham, Berkshire, England",,1,,,,51.4031075,-0.8733698,True,GB,England
"Barkham Manor, Barkham, Berkshsire, England",,1,,,,52.5310214,-1.2649062,True,GB,England
